00000001,Christine,Gilbert,24,WR,54,21994,2850295
00000002,Christy,Richards,31,WR,70,24074,3059498
00000003,Sara,Griffith,23,RB,49,2808,6154683
00000004,Kayla,Hart,14,RB,87,20268,4621309
00000005,Matthew,Love,01,QB,32,15151,6096360
00000006,Walter,Robertson,22,QB,24,15213,2033555
00000007,Ryan,Taylor,04,RB,10,5844,6692924
00000008,Mark,Mclaughlin,29,WR,19,16138,8467954
00000009,Richard,Nguyen,10,RB,71,21673,9019630
00000010,Amanda,Meyers,30,WR,22,4440,8523573
00000011,Lydia,Bowen,22,QB,44,9221,6615999
00000012,Donna,Camacho,19,WR,68,9948,6815485
00000013,Brett,Anderson,18,RB,96,7907,7177587
00000014,Christopher,Reed,01,WR,25,20710,9192276
00000015,Todd,Burns,08,RB,39,8469,7819130
00000016,Cassandra,Lang,31,QB,78,7688,1811362
00000017,Lawrence,Nelson,15,WR,89,15007,5863625
00000018,Janice,Floyd,24,RB,53,4928,6763602
00000019,Jessica,Davis,08,RB,16,1116,9384760
00000020,James,Johnson,06,QB,10,85,4076450
00000021,Colleen,Burgess,02,WR,38,24388,5016876
00000022,Jamie,Webster,21,QB,69,1550,8605460
00000023,Matthew,Curtis,26,RB,86,23796,8609963
00000024,Jerry,Olson,01,RB,45,2548,7847318
00000025,Alexis,Bates,25,WR,17,8316,6259476
00000026,Roger,Davis,06,RB,39,17812,1112351
00000027,Kimberly,Underwood,22,WR,81,24380,7729461
00000028,Erica,Carter,18,RB,69,12573,9665193
00000029,Andrea,Cowan,30,RB,65,14276,5106168
00000030,Ronald,Gallegos,22,RB,69,13896,9460811
00000031,David,Beltran,20,RB,92,22255,6326478
00000032,Dr.,Kristi,32,WR,76,10365,8339839
00000033,Nicholas,Washington,01,QB,2,21289,3567771
00000034,Jennifer,Walsh,06,WR,97,12543,6463594
00000035,Andrew,Reyes,20,QB,61,11958,9080213
00000036,James,Vance,04,QB,55,22076,3488554
00000037,Regina,Brooks,30,RB,63,21752,7198034
00000038,Chad,Carr,08,RB,53,9897,4522230
00000039,William,Brown,14,QB,77,1615,5792076
00000040,Tracey,Diaz,29,WR,85,10165,6269113
00000041,Alicia,Lloyd,22,WR,98,21450,9783634
00000042,Amber,Miller,27,WR,12,17524,1151828
00000043,Andrew,Harris,23,WR,11,8774,3162979
00000044,Parker,Wood,30,RB,93,8759,1554663
00000045,John,Anderson,27,RB,41,2505,8579078
00000046,James,Hayden,22,RB,41,10932,2991720
00000047,Pamela,Garcia,31,WR,57,1126,1860569
00000048,Ryan,Davidson,08,WR,23,8411,7461214
00000049,Morgan,Fisher,21,WR,4,14349,6617572
00000050,Heidi,Ramos,12,RB,34,3454,8731546
00000051,Dr.,Daniel,11,RB,17,20717,3856429
00000052,Christopher,Alexander,25,WR,67,4854,4277471
00000053,John,Moore,31,WR,82,21352,6340085
00000054,Jerry,Morris,05,QB,98,22363,6376617
00000055,Maria,Lloyd,30,WR,56,5261,5900567
00000056,Anthony,Davis,21,QB,10,19953,1049147
00000057,Anthony,Montes,23,RB,20,20434,7392199
00000058,Patricia,Franklin,25,WR,51,4775,1989830
00000059,Gerald,Martin,14,RB,64,2367,7904938
00000060,John,Hayes,21,QB,11,12171,5595835
00000061,Carlos,Hill,07,QB,53,23713,1215033
00000062,Ms.,Angela,08,RB,57,72,2994007
00000063,Charles,Adams,07,QB,62,21767,2233937
00000064,Cynthia,Wilson,07,RB,19,9408,3727816
00000065,Timothy,Vega,22,QB,73,7412,6702769
00000066,Stephanie,Brown,19,WR,13,9382,2638812
00000067,Ryan,Camacho,05,RB,88,15820,6039518
00000068,Sandra,Lozano,32,RB,3,4583,7428830
00000069,Miguel,Smith,14,WR,31,5408,6046115
00000070,Mariah,Barrett,23,QB,18,11835,5214221
00000071,Joseph,Clark,19,WR,89,16211,3878091
00000072,Paul,Dorsey,16,RB,76,16958,1206470
00000073,Mary,Luna,16,QB,28,11593,4374522
00000074,Cassandra,Ortiz,24,WR,50,24253,2455027
00000075,Mary,Luna,20,RB,42,10055,9229940
00000076,Erica,Miller,03,WR,49,22527,9552221
00000077,Lisa,Ballard,28,RB,31,244,7525864
00000078,Lawrence,Cook,15,RB,26,24985,4744581
00000079,Brandon,Coleman,19,WR,86,10747,6123726
00000080,Cody,Browning,07,QB,19,17371,8736027
00000081,Steven,Schmitt,29,WR,0,23776,2291404
00000082,Joseph,Price,21,RB,88,13877,3934989
00000083,John,Freeman,26,WR,41,9851,1668506
00000084,Darrell,Craig,06,WR,32,11142,7979533
00000085,Joe,Huerta,26,WR,99,23567,3295972
00000086,Barbara,Whitaker,17,RB,99,7110,4745052
00000087,Amy,Sanford,13,QB,54,7517,5428612
00000088,Brandy,Huber,27,QB,42,22439,3369099
00000089,Bradley,Marshall,26,WR,47,22555,6347460
00000090,Susan,Castillo,01,RB,0,5917,2326426
00000091,John,Reed,20,QB,70,19526,1832450
00000092,Mark,Johnston,22,WR,89,7248,2004040
00000093,Gary,Francis,32,WR,3,18471,6320437
00000094,Ann,Hale,10,QB,1,24929,1888846
00000095,Craig,Ramirez,07,RB,81,22718,6075565
00000096,Erik,Lopez,10,QB,49,18644,4841038
00000097,Jason,Oliver,30,RB,43,17372,4296766
00000098,Shannon,Scott,26,QB,31,11746,8237709
00000099,Gerald,Jackson,22,WR,24,19684,5538745
00000100,Tammy,Hunter,20,WR,1,5308,2519880
00000101,Shawn,Hartman,17,QB,2,17544,6366477
00000102,Laurie,Cox,21,WR,27,21036,5294289
00000103,Erica,Moss,05,WR,66,15972,3601890
00000104,Brittany,Gray,17,WR,94,16647,5763749
00000105,Gregory,Medina,05,QB,90,22347,6225358
00000106,Shannon,Olson,10,QB,99,24502,6790360
00000107,Rhonda,Harrison,16,WR,42,13506,9146759
00000108,Brian,Arias,22,WR,73,23831,6539821
00000109,Tracy,Edwards,04,QB,86,11174,7973168
00000110,Hannah,Bennett,08,RB,62,11809,4405815
00000111,William,Valentine,30,WR,42,24544,8683234
00000112,Dennis,Werner,03,WR,94,11956,4380669
00000113,Patrick,Blair,14,QB,77,8656,2245514
00000114,Brandon,Willis,30,QB,43,11154,3740411
00000115,Matthew,Lawrence,07,WR,2,11038,4310503
00000116,Sonya,West,24,QB,39,586,2702503
00000117,Antonio,Garcia,08,WR,80,21630,5066883
00000118,Robyn,Evans,24,WR,3,13278,1103687
00000119,Rodney,Torres,32,WR,2,24722,7636929
00000120,Tanya,Martin,10,QB,63,17450,8787770
00000121,Jeremy,Le,19,RB,97,10734,8172833
00000122,Michelle,Mclaughlin,27,WR,60,12061,4433554
00000123,Kyle,Simpson,22,WR,11,2610,4266723
00000124,Amy,Wilson,24,QB,17,22294,5489185
00000125,Joshua,Vega,08,QB,44,24235,8303030
00000126,Cheyenne,Garcia,05,QB,65,12956,7151757
00000127,Christopher,Mcgee,30,RB,73,13890,9255642
00000128,Lisa,Buchanan,10,QB,80,17471,7536977
00000129,Angela,Harris,18,WR,41,21311,5028735
00000130,Alison,Bennett,03,QB,13,22715,6272994
00000131,Joshua,Acosta,13,WR,99,11604,8288395
00000132,John,Banks,07,QB,82,22163,7025740
00000133,Elizabeth,Wallace,10,QB,5,19033,2004919
00000134,Ivan,Thomas,14,RB,96,10040,1345688
00000135,Aaron,Harper,15,RB,6,22108,6942671
00000136,Lynn,Fields,10,RB,54,19310,4023039
00000137,Kimberly,Riddle,20,QB,18,2601,9954906
00000138,Jeremy,Williams,16,QB,30,15141,5355637
00000139,Jason,Booker,27,WR,3,22439,2545189
00000140,Raymond,Garcia,16,QB,54,7652,5332846
00000141,Douglas,Thomas,32,RB,2,96,1787749
00000142,Mark,Grant,11,WR,47,15385,2730457
00000143,Colin,Mcdaniel,06,WR,4,7270,6523227
